# Per-cell mine probabilities from the Rust `PatchCnn` for one fixed position,
# used by neural-estimator.ipynb to prove the Python twin in minesweeper_ref.py
# builds the same 9x9 patch the engine does.
#
# The patch layout lives in three places (probability/patch.rs, neural/dataset.py,
# and now minesweeper_ref.py) with nothing tying them together. Getting a channel
# wrong does not raise; it feeds the model an input it never saw. This file is
# the tie.
#
# Position: 6x4, mines at (0,0) (2,1) (3,3) (5,0) (4,2); opened (1,1) (2,2) (3,1)
# (4,1) (1,2) (3,2); flagged (1,0). Regenerate with the snippet in
# neural-estimator.md under "Checking the patch against the engine".
#
# x y probability
0 0 0.452933
1 0 0.427053
2 0 0.410436
3 0 0.094256
4 0 0.192897
5 0 0.194714
0 1 0.010507
1 1 0.000000
2 1 0.611407
3 1 0.000000
4 1 0.000000
5 1 0.194114
0 2 0.008021
1 2 0.000000
2 2 0.000000
3 2 0.000000
4 2 0.546513
5 2 0.258969
0 3 0.001626
1 3 0.015977
2 3 0.224858
3 3 0.917975
4 3 0.341639
5 3 0.167651
